dummy_cell_id_year,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,elev,dist_sett,dist_riv,dist_road,dist_pa,npp,treecov,agriculture,team,year,eff1,eff2,eff3,eff4,eff5,eff6,eff7,eff8,eff9,eff10,eff11,eff12,eff13,eff14,team1,team2,team3,team4,team5,team6,team7,team8,team9,team10,team11,team12,team13,team14
121-2018,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.562984741,0.427699666,0.4434965,0.688494475,5.823904796,0.136897439,0.611442747,-0.006106891,T5,2018,-1.023560231,0.767442136,-1.866384874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T5,T5,T5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122-2018,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.594759198,0.673311614,0.025998241,0.247956323,4.678182338,0.236632388,0.960269096,0.183451009,T5,2018,-1.128913311,0.767442136,0.240676734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T5,T5,T5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123-2018,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.634240637,1.816149602,-0.118043806,1.390247155,1.339301829,0.057121888,-0.392864598,4.92239851,T5,2018,-1.655678713,0.767442136,0.240676734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T5,T5,T5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124-2018,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.617352477,1.814290262,0.198958243,0.350725585,2.708864867,-0.114716491,-0.634376396,1.557745784,T5,2018,-1.655678713,0.767442136,-1.234266392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T5,T5,T5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125-2018,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.634576527,2.066373998,-0.517409634,1.357107895,-0.114467711,-0.064673897,-0.227106728,0.183451009,T5,2018,-1.655678713,0.767442136,-1.444972553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T5,T5,T5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126-2018,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.601436036,1.999848064,0.412849898,0.196626652,2.997646306,-0.298878582,-1.10340127,-0.503696379,T5,2018,-1.655678713,0.767442136,0.767442136,-1.128913311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T5,T5,T5,T5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127-2018,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.60866618,2.301223678,0.261707593,1.498863769,1.566584854,0.138140839,-0.020137207,-0.077191104,T5,2018,-1.339619472,0.767442136,0.240676734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T5,T5,T5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128-2018,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.61074782,2.302405661,-0.367592296,1.470533511,0.933184165,0.147577946,0.547910856,-0.503696379,T5,2018,-1.761031794,-2.182444116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T5,T5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129-2015,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.640527559,2.088629499,0.553164375,1.448230527,4.153092742,-1.484229669,-1.318646708,-0.503696379,T5,2015,-1.761031794,0.767442136,0.662089056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T5,T5,T5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130-2015,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.598831141,2.330119727,-0.028363055,-0.179256996,1.349312756,-0.016417624,-0.559275578,0.041282584,T5,2015,-1.866384874,0.767442136,-0.180735588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T5,T5,T5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
